,Zeit,Weseler Straße (gesamt),Weseler Straße FR stadteinwärts,Weseler Straße FR stadtauswärts,Wetter,Temperatur (°C),Luftfeuchtigkeit (%),Gefühlte Temperatur (°C),Regen (mm),Wind (km/h)
,9. Okt. 2018 18:00,383,224,159,Leicht bewölkt,18,73,18,0,4
,9. Okt. 2018 19:00,270,150,120,Leicht bewölkt,17,77,17,0,4
,9. Okt. 2018 20:00,174,72,102,Leicht bewölkt,16,80,17,0,5
,9. Okt. 2018 21:00,126,70,56,Leicht bewölkt,15,84,16,0,5
,9. Okt. 2018 22:00,94,36,58,Leicht bewölkt,15,85,15,0,5
,9. Okt. 2018 23:00,60,15,45,Leicht bewölkt,15,87,15,0,5
,10. Okt. 2018 00:00,54,19,35,Leicht bewölkt,14,88,15,0,5
,10. Okt. 2018 01:00,12,5,7,Leicht bewölkt,14,88,14,0,6
,10. Okt. 2018 02:00,22,7,15,Sonnig,13,88,13,0,6
,10. Okt. 2018 03:00,14,6,8,Sonnig,13,89,13,0,6
,10. Okt. 2018 04:00,16,12,4,Sonnig,12,89,12,0,7
,10. Okt. 2018 05:00,33,20,13,Leicht bewölkt,12,89,12,0,8
,10. Okt. 2018 06:00,112,59,53,Leicht bewölkt,12,90,11,0,8
,10. Okt. 2018 07:00,523,334,189,Leicht bewölkt,13,85,12,0,9
,10. Okt. 2018 08:00,403,256,147,Leicht bewölkt,14,81,14,0,11
,10. Okt. 2018 09:00,277,209,68,Leicht bewölkt,15,77,15,0,12
,10. Okt. 2018 10:00,241,166,75,Leicht bewölkt,17,71,17,0,13
,10. Okt. 2018 11:00,233,149,84,Leicht bewölkt,19,65,19,0,15
,10. Okt. 2018 12:00,255,146,109,Leicht bewölkt,20,60,20,0,17
,10. Okt. 2018 13:00,301,187,114,Leicht bewölkt,21,59,21,0,16
,10. Okt. 2018 14:00,290,150,140,Leicht bewölkt,21,59,21,0,16
,10. Okt. 2018 15:00,359,194,165,Leicht bewölkt,21,59,21,0,16
,10. Okt. 2018 16:00,422,252,170,Leicht bewölkt,21,64,21,0,15
,10. Okt. 2018 17:00,459,271,188,Leicht bewölkt,20,69,20,0,15
,10. Okt. 2018 18:00,351,198,153,Leicht bewölkt,19,74,19,0,14
,10. Okt. 2018 19:00,320,185,135,Leicht bewölkt,18,77,18,0,14
,10. Okt. 2018 20:00,171,88,83,Sonnig,17,80,16,0,14
,10. Okt. 2018 21:00,152,64,88,Sonnig,15,83,15,0,14
,10. Okt. 2018 22:00,120,51,69,Sonnig,15,84,14,0,13
,10. Okt. 2018 23:00,83,34,49,Sonnig,14,86,13,0,13
,11. Okt. 2018 00:00,45,18,27,Sonnig,13,87,12,0,12
,11. Okt. 2018 01:00,45,17,28,Sonnig,13,86,12,0,12
,11. Okt. 2018 02:00,30,4,26,Sonnig,13,86,12,0,11
,11. Okt. 2018 03:00,18,2,16,Sonnig,13,85,12,0,10
,11. Okt. 2018 04:00,13,8,5,Sonnig,13,86,13,0,9
,11. Okt. 2018 05:00,37,21,16,Sonnig,13,86,13,0,8
,11. Okt. 2018 06:00,116,59,57,Sonnig,13,86,13,0,8
,11. Okt. 2018 07:00,451,269,182,Sonnig,14,82,14,0,8
,11. Okt. 2018 08:00,369,249,120,Leicht bewölkt,15,78,15,0,8
,11. Okt. 2018 09:00,307,244,63,Leicht bewölkt,16,74,16,0,8
,11. Okt. 2018 10:00,204,137,67,Leicht bewölkt,18,69,18,0,8
,11. Okt. 2018 11:00,202,127,75,Leicht bewölkt,19,65,19,0,8
,11. Okt. 2018 12:00,256,146,110,Leicht bewölkt,21,60,21,0,8
,11. Okt. 2018 13:00,304,171,133,Leicht bewölkt,21,60,21,0,7
,11. Okt. 2018 14:00,298,163,135,Leicht bewölkt,22,59,22,0,6
,11. Okt. 2018 15:00,385,224,161,Leicht bewölkt,23,58,25,0,5
,11. Okt. 2018 16:00,438,257,181,Leicht bewölkt,22,62,22,0,6
,11. Okt. 2018 17:00,462,265,197,Leicht bewölkt,21,65,21,0,7
,11. Okt. 2018 18:00,338,187,151,Leicht bewölkt,20,68,20,0,8
,11. Okt. 2018 19:00,280,169,111,Leicht bewölkt,19,71,19,0,9
,11. Okt. 2018 20:00,214,109,105,Leicht bewölkt,18,74,18,0,10
,11. Okt. 2018 21:00,155,56,99,Leicht bewölkt,16,78,16,0,11
,11. Okt. 2018 22:00,124,45,79,Leicht bewölkt,16,78,16,0,11
,11. Okt. 2018 23:00,69,27,42,Leicht bewölkt,15,78,15,0,11
,12. Okt. 2018 00:00,35,14,21,Leicht bewölkt,15,78,14,0,12
,12. Okt. 2018 01:00,22,7,15,Leicht bewölkt,15,77,15,0,12
,12. Okt. 2018 02:00,16,4,12,Leicht bewölkt,15,77,15,0,12
,12. Okt. 2018 03:00,15,7,8,Leicht bewölkt,15,76,15,0,12
,12. Okt. 2018 04:00,11,5,6,Leicht bewölkt,15,77,15,0,12
,12. Okt. 2018 05:00,35,22,13,Leicht bewölkt,15,78,15,0,12
,12. Okt. 2018 06:00,99,49,50,Leicht bewölkt,15,79,15,0,12
,12. Okt. 2018 07:00,450,298,152,Leicht bewölkt,16,76,16,0,13
,12. Okt. 2018 08:00,314,206,108,Leicht bewölkt,17,74,17,0,13
,12. Okt. 2018 09:00,259,201,58,Leicht bewölkt,18,71,18,0,14
,12. Okt. 2018 10:00,206,143,63,Leicht bewölkt,19,67,19,0,15
,12. Okt. 2018 11:00,213,133,80,Leicht bewölkt,21,63,21,0,15
,12. Okt. 2018 12:00,251,138,113,Leicht bewölkt,22,60,23,0,16
,12. Okt. 2018 13:00,367,212,155,Leicht bewölkt,22,59,24,0,15
,12. Okt. 2018 14:00,312,200,112,Leicht bewölkt,23,59,24,0,14
,12. Okt. 2018 15:00,355,208,147,Leicht bewölkt,23,59,25,0,13
,12. Okt. 2018 16:00,310,174,136,Leicht bewölkt,22,63,24,0,13
,12. Okt. 2018 17:00,280,155,125,Leicht bewölkt,21,67,21,0,13
,12. Okt. 2018 18:00,235,144,91,Leicht bewölkt,20,71,20,0,13
,12. Okt. 2018 19:00,206,109,97,Leicht bewölkt,19,73,19,0,13
,12. Okt. 2018 20:00,159,94,65,Leicht bewölkt,19,75,19,0,14
,12. Okt. 2018 21:00,127,68,59,Leicht bewölkt,18,77,18,0,14
,12. Okt. 2018 22:00,96,41,55,Leicht bewölkt,18,77,18,0,13
,12. Okt. 2018 23:00,98,54,44,Leicht bewölkt,17,77,17,0,13
,13. Okt. 2018 00:00,62,28,34,Leicht bewölkt,17,77,17,0,13
,13. Okt. 2018 01:00,61,24,37,Leicht bewölkt,17,76,17,0,13
,13. Okt. 2018 02:00,35,10,25,Leicht bewölkt,17,76,17,0,12
,13. Okt. 2018 03:00,27,5,22,Leicht bewölkt,17,75,17,0,12
,13. Okt. 2018 04:00,16,4,12,Leicht bewölkt,17,75,17,0,12
,13. Okt. 2018 05:00,27,14,13,Leicht bewölkt,17,75,17,0,12
,13. Okt. 2018 06:00,20,12,8,Leicht bewölkt,17,74,17,0,11
,13. Okt. 2018 07:00,33,16,17,Leicht bewölkt,18,72,18,0,12
,13. Okt. 2018 08:00,89,65,24,Leicht bewölkt,19,69,19,0,12
,13. Okt. 2018 09:00,140,110,30,Leicht bewölkt,20,66,20,0,13
,13. Okt. 2018 10:00,168,140,28,Leicht bewölkt,21,62,21,0,14
,13. Okt. 2018 11:00,227,161,66,Leicht bewölkt,23,58,24,0,15
,13. Okt. 2018 12:00,246,175,71,Leicht bewölkt,24,54,26,0,16
,13. Okt. 2018 13:00,261,175,86,Leicht bewölkt,24,54,26,0,16
,13. Okt. 2018 14:00,232,130,102,Leicht bewölkt,25,54,26,0,15
,13. Okt. 2018 15:00,195,118,77,Leicht bewölkt,25,55,26,0,14
,13. Okt. 2018 16:00,203,103,100,Leicht bewölkt,24,58,25,0,14
,13. Okt. 2018 17:00,201,115,86,Leicht bewölkt,22,62,25,0,14
,13. Okt. 2018 18:00,234,120,114,Leicht bewölkt,21,65,21,0,14
,13. Okt. 2018 19:00,207,107,100,Leicht bewölkt,20,67,20,0,14
,13. Okt. 2018 20:00,116,62,54,Leicht bewölkt,19,69,19,0,14
,13. Okt. 2018 21:00,102,46,56,Leicht bewölkt,18,71,18,0,14
,13. Okt. 2018 22:00,98,40,58,Leicht bewölkt,17,72,17,0,13
,13. Okt. 2018 23:00,68,33,35,Leicht bewölkt,17,73,17,0,13
,14. Okt. 2018 00:00,59,27,32,Leicht bewölkt,16,74,16,0,12
,14. Okt. 2018 01:00,53,19,34,Leicht bewölkt,16,74,16,0,12
,14. Okt. 2018 02:00,27,11,16,Leicht bewölkt,15,74,15,0,12
,14. Okt. 2018 03:00,19,4,15,Leicht bewölkt,15,74,15,0,12
,14. Okt. 2018 04:00,12,4,8,Leicht bewölkt,15,74,14,0,12
,14. Okt. 2018 05:00,13,8,5,Sonnig,15,74,14,0,12
,14. Okt. 2018 06:00,16,7,9,Sonnig,14,75,14,0,12
,14. Okt. 2018 07:00,20,13,7,Sonnig,16,72,15,0,13
,14. Okt. 2018 08:00,40,16,24,Sonnig,17,69,17,0,15
,14. Okt. 2018 09:00,56,36,20,Sonnig,18,66,18,0,16
,14. Okt. 2018 10:00,123,92,31,Sonnig,20,61,20,0,18
,14. Okt. 2018 11:00,126,68,58,Leicht bewölkt,21,55,21,0,19
,14. Okt. 2018 12:00,176,122,54,Leicht bewölkt,23,50,23,0,21
,14. Okt. 2018 13:00,180,92,88,Leicht bewölkt,23,50,24,0,19
,14. Okt. 2018 14:00,185,126,59,Sonnig,23,50,24,0,18
,14. Okt. 2018 15:00,169,107,62,Sonnig,23,50,25,0,17
,14. Okt. 2018 16:00,171,91,80,Sonnig,22,56,24,0,15
,14. Okt. 2018 17:00,202,100,102,Leicht bewölkt,21,62,21,0,14
,14. Okt. 2018 18:00,162,83,79,Leicht bewölkt,21,67,21,0,12
,14. Okt. 2018 19:00,133,64,69,Leicht bewölkt,19,70,19,0,12
,14. Okt. 2018 20:00,97,40,57,Leicht bewölkt,18,74,18,0,11
,14. Okt. 2018 21:00,51,25,26,Leicht bewölkt,17,77,17,0,10
,14. Okt. 2018 22:00,45,20,25,Leicht bewölkt,16,77,16,0,10
,14. Okt. 2018 23:00,28,11,17,Leicht bewölkt,16,77,16,0,10
,15. Okt. 2018 00:00,16,6,10,Leicht bewölkt,15,78,15,0,10
,15. Okt. 2018 01:00,12,6,6,Leicht bewölkt,15,75,15,0,10
,15. Okt. 2018 02:00,5,3,2,Sonnig,15,73,15,0,10
,15. Okt. 2018 03:00,5,2,3,Sonnig,15,70,15,0,10
,15. Okt. 2018 04:00,7,6,1,Sonnig,15,69,15,0,10
,15. Okt. 2018 05:00,30,21,9,Leicht bewölkt,15,68,15,0,10
,15. Okt. 2018 06:00,120,60,60,Leicht bewölkt,15,67,15,0,10
,15. Okt. 2018 07:00,344,210,134,Leicht bewölkt,16,64,16,0,11
,15. Okt. 2018 08:00,342,217,125,Leicht bewölkt,17,62,17,0,12
,15. Okt. 2018 09:00,286,202,84,Leicht bewölkt,18,59,18,0,13
,15. Okt. 2018 10:00,225,152,73,Leicht bewölkt,19,57,19,0,14
,15. Okt. 2018 11:00,279,199,80,Leicht bewölkt,21,54,21,0,14
,15. Okt. 2018 12:00,258,136,122,Leicht bewölkt,22,52,23,0,14
,15. Okt. 2018 13:00,243,153,90,Leicht bewölkt,22,53,24,0,12
,15. Okt. 2018 14:00,243,139,104,Leicht bewölkt,23,54,24,0,11
,15. Okt. 2018 15:00,356,212,144,Leicht bewölkt,23,55,25,0,9
,15. Okt. 2018 16:00,407,228,179,Leicht bewölkt,22,58,23,0,7
,15. Okt. 2018 17:00,476,255,221,Leicht bewölkt,21,62,21,0,6
,15. Okt. 2018 18:00,338,188,150,Leicht bewölkt,20,65,20,0,4
,15. Okt. 2018 19:00,288,124,164,Leicht bewölkt,19,68,19,0,4
,15. Okt. 2018 20:00,177,74,103,Leicht bewölkt,18,71,18,0,4
,15. Okt. 2018 21:00,120,59,61,Leicht bewölkt,17,73,17,0,4
,15. Okt. 2018 22:00,79,44,35,Leicht bewölkt,16,75,16,0,4
,15. Okt. 2018 23:00,47,13,34,Leicht bewölkt,16,78,16,0,4
,16. Okt. 2018 00:00,34,15,19,Leicht bewölkt,16,80,16,0,4
,16. Okt. 2018 01:00,12,3,9,Leicht bewölkt,16,78,16,0,4
,16. Okt. 2018 02:00,5,0,5,Stellenweise Gewitter und Niederschläge,16,75,16,0,5
,16. Okt. 2018 03:00,5,2,3,Stellenweise Gewitter und Niederschläge,16,73,16,0,5
,16. Okt. 2018 04:00,6,3,3,Stellenweise Gewitter und Niederschläge,16,73,16,0,5
,16. Okt. 2018 05:00,32,21,11,Leicht bewölkt,16,72,16,0,5
,16. Okt. 2018 06:00,118,52,66,Leicht bewölkt,16,71,16,0,5
,16. Okt. 2018 07:00,300,156,144,Leicht bewölkt,17,70,17,0,5
,16. Okt. 2018 08:00,378,258,120,Leicht bewölkt,18,68,18,0,4
,16. Okt. 2018 09:00,259,190,69,Leicht bewölkt,19,66,19,0,4
,16. Okt. 2018 10:00,220,167,53,Leicht bewölkt,20,63,20,0,4
,16. Okt. 2018 11:00,232,155,77,Leicht bewölkt,21,60,21,0,4
,16. Okt. 2018 12:00,240,119,121,Leicht bewölkt,22,56,23,0,3
,16. Okt. 2018 13:00,234,131,103,Leicht bewölkt,22,56,24,0,3
,16. Okt. 2018 14:00,273,135,138,Leicht bewölkt,23,57,24,0,3
,16. Okt. 2018 15:00,384,259,125,Leicht bewölkt,23,57,25,0,3
,16. Okt. 2018 16:00,386,222,164,Leicht bewölkt,23,61,24,0,4
,16. Okt. 2018 17:00,430,231,199,Leicht bewölkt,22,65,22,0,5
,16. Okt. 2018 18:00,407,216,191,Leicht bewölkt,21,69,21,0,6
,16. Okt. 2018 19:00,247,129,118,Leicht bewölkt,20,71,20,0,7
,16. Okt. 2018 20:00,158,78,80,Leicht bewölkt,19,73,19,0,7
,16. Okt. 2018 21:00,102,47,55,Leicht bewölkt,17,76,17,0,8
,16. Okt. 2018 22:00,90,33,57,Leicht bewölkt,17,75,17,0,8
,16. Okt. 2018 23:00,80,42,38,Leicht bewölkt,16,73,16,0,8
,17. Okt. 2018 00:00,29,7,22,Leicht bewölkt,16,72,16,0,8
,17. Okt. 2018 01:00,15,6,9,Leicht bewölkt,16,73,16,0,8
,17. Okt. 2018 02:00,8,0,8,Leicht bewölkt,15,73,15,0,8
,17. Okt. 2018 03:00,10,4,6,Leicht bewölkt,15,74,15,0,8
,17. Okt. 2018 04:00,10,5,5,Leicht bewölkt,15,75,15,0,8
,17. Okt. 2018 05:00,32,20,12,Leicht bewölkt,14,76,14,0,7
,17. Okt. 2018 06:00,96,49,47,Leicht bewölkt,14,78,14,0,7
,17. Okt. 2018 07:00,362,216,146,Leicht bewölkt,15,75,15,0,6
,17. Okt. 2018 08:00,346,238,108,Leicht bewölkt,16,72,16,0,5
,17. Okt. 2018 09:00,288,216,72,Leicht bewölkt,17,69,17,0,5
,17. Okt. 2018 10:00,217,147,70,Leicht bewölkt,18,65,18,0,5
,17. Okt. 2018 11:00,264,189,75,Leicht bewölkt,19,62,19,0,4
,17. Okt. 2018 12:00,269,151,118,Leicht bewölkt,21,58,21,0,4
,17. Okt. 2018 13:00,268,144,124,Leicht bewölkt,21,59,21,0,4
,17. Okt. 2018 14:00,229,108,121,Leicht bewölkt,21,59,21,0,5
,17. Okt. 2018 15:00,323,186,137,Leicht bewölkt,21,60,21,0,5
,17. Okt. 2018 16:00,404,253,151,Leicht bewölkt,20,64,20,0,5
,17. Okt. 2018 17:00,414,252,162,Leicht bewölkt,19,67,19,0,6
,17. Okt. 2018 18:00,371,193,178,Leicht bewölkt,18,71,18,0,6
,17. Okt. 2018 19:00,271,128,143,Leicht bewölkt,17,75,17,0,6
,17. Okt. 2018 20:00,193,115,78,Leicht bewölkt,16,79,16,0,7
,17. Okt. 2018 21:00,133,65,68,Leicht bewölkt,15,83,15,0,7
,17. Okt. 2018 22:00,129,47,82,Leicht bewölkt,15,86,14,0,8
,17. Okt. 2018 23:00,78,30,48,Leicht bewölkt,14,89,13,0,9
,18. Okt. 2018 00:00,79,45,34,Leicht bewölkt,13,93,12,0,9
,18. Okt. 2018 01:00,41,13,28,Leicht bewölkt,13,94,12,0,9
,18. Okt. 2018 02:00,23,1,22,Leichter Nebel,12,95,11,0,9
,18. Okt. 2018 03:00,46,5,41,Leichter Nebel,12,96,11,0,9
,18. Okt. 2018 04:00,20,11,9,Leichter Nebel,11,96,10,0,9
,18. Okt. 2018 05:00,38,19,19,Leichter Nebel,11,97,10,0,8
,18. Okt. 2018 06:00,102,60,42,Leichter Nebel,11,97,10,0,7
,18. Okt. 2018 07:00,292,158,134,Leichter Nebel,11,94,11,0,7
,18. Okt. 2018 08:00,304,207,97,Leichter Nebel,12,91,11,0,8
,18. Okt. 2018 09:00,253,206,47,Leichter Nebel,13,89,12,0,8
,18. Okt. 2018 10:00,188,137,51,Leichter Nebel,13,86,13,0,9
,18. Okt. 2018 11:00,196,118,78,Leicht bewölkt,14,83,14,0,9
,18. Okt. 2018 12:00,208,119,89,Leicht bewölkt,15,80,14,0,10
,18. Okt. 2018 13:00,196,105,91,Leicht bewölkt,15,80,14,0,10
,18. Okt. 2018 14:00,221,117,104,Stellenweiser Regenfall,15,80,14,0,10
,18. Okt. 2018 15:00,284,146,138,Stellenweiser Regenfall,15,80,14,0,10
,18. Okt. 2018 16:00,297,170,127,Stellenweiser Regenfall,14,80,14,0,10
,18. Okt. 2018 17:00,294,166,128,Leichter Regenschauer,14,81,13,0,10
,18. Okt. 2018 18:00,267,124,143,Leichter Regenschauer,14,81,13,0,10
,18. Okt. 2018 19:00,198,98,100,Leichter Regenschauer,13,82,12,0,11
,18. Okt. 2018 20:00,141,70,71,Bedeckt,13,83,12,0,11
,18. Okt. 2018 21:00,105,44,61,Bedeckt,12,84,11,0,12
,18. Okt. 2018 22:00,112,42,70,Bedeckt,11,86,10,0,12
,18. Okt. 2018 23:00,53,26,27,Stellenweiser Regenfall,10,89,9,0,12
,19. Okt. 2018 00:00,31,14,17,Stellenweiser Regenfall,10,91,8,0,12
,19. Okt. 2018 01:00,18,12,6,Stellenweiser Regenfall,9,92,7,0,12
,19. Okt. 2018 02:00,17,9,8,Leicht bewölkt,8,94,7,0,11
,19. Okt. 2018 03:00,20,12,8,Leicht bewölkt,8,95,6,0,10
,19. Okt. 2018 04:00,15,11,4,Leicht bewölkt,7,95,6,0,10
,19. Okt. 2018 05:00,38,24,14,Leichter Nebel,7,95,5,0,10
,19. Okt. 2018 06:00,71,37,34,Leichter Nebel,7,95,5,0,9
,19. Okt. 2018 07:00,276,164,112,Leichter Nebel,8,91,6,0,9
,19. Okt. 2018 08:00,269,168,101,Leichter Nebel,9,86,7,0,9
,19. Okt. 2018 09:00,193,152,41,Leichter Nebel,10,82,8,0,9
,19. Okt. 2018 10:00,168,131,37,Leichter Nebel,11,77,10,0,9
,19. Okt. 2018 11:00,230,139,91,Leicht bewölkt,12,71,12,0,10
,19. Okt. 2018 12:00,202,103,99,Leicht bewölkt,14,66,13,0,10
,19. Okt. 2018 13:00,261,153,108,Leicht bewölkt,14,65,14,0,9
,19. Okt. 2018 14:00,274,174,100,Leicht bewölkt,15,64,14,0,9
,19. Okt. 2018 15:00,301,180,121,Leicht bewölkt,15,63,15,0,8
,19. Okt. 2018 16:00,288,174,114,Leicht bewölkt,15,66,15,0,8
,19. Okt. 2018 17:00,267,155,112,Leicht bewölkt,14,69,14,0,8
,19. Okt. 2018 18:00,228,124,104,Leicht bewölkt,14,72,14,0,8
,19. Okt. 2018 19:00,206,133,73,Leicht bewölkt,13,76,12,0,8
,19. Okt. 2018 20:00,158,89,69,Leicht bewölkt,11,79,11,0,8
,19. Okt. 2018 21:00,98,51,47,Leicht bewölkt,10,82,9,0,8
,19. Okt. 2018 22:00,76,42,34,Leicht bewölkt,9,84,9,0,8
,19. Okt. 2018 23:00,74,36,38,Leicht bewölkt,9,86,8,0,8
,20. Okt. 2018 00:00,62,16,46,Leicht bewölkt,8,88,7,0,8
,20. Okt. 2018 01:00,55,16,39,Leicht bewölkt,8,89,7,0,7
,20. Okt. 2018 02:00,31,8,23,Sonnig,7,91,6,0,7
,20. Okt. 2018 03:00,35,9,26,Sonnig,7,92,6,0,7
,20. Okt. 2018 04:00,21,6,15,Sonnig,6,92,5,0,7
,20. Okt. 2018 05:00,29,7,22,Leicht bewölkt,6,93,5,0,6
,20. Okt. 2018 06:00,26,15,11,Leicht bewölkt,6,93,5,0,6
,20. Okt. 2018 07:00,24,13,11,Leicht bewölkt,7,88,6,0,5
,20. Okt. 2018 08:00,61,39,22,Leicht bewölkt,8,84,7,0,4
,20. Okt. 2018 09:00,108,69,39,Leicht bewölkt,9,79,8,0,3
,20. Okt. 2018 10:00,160,116,44,Leicht bewölkt,10,74,10,0,3
,20. Okt. 2018 11:00,193,148,45,Leicht bewölkt,11,69,11,0,4
,20. Okt. 2018 12:00,192,135,57,Leicht bewölkt,13,64,13,0,4
,20. Okt. 2018 13:00,248,156,92,Leicht bewölkt,13,64,13,0,5
,20. Okt. 2018 14:00,215,125,90,Leicht bewölkt,13,64,13,0,6
,20. Okt. 2018 15:00,237,144,93,Leicht bewölkt,14,64,14,0,7
,20. Okt. 2018 16:00,192,105,87,Leicht bewölkt,13,67,13,0,7
,20. Okt. 2018 17:00,205,117,88,Bewölkt,13,70,12,0,6
,20. Okt. 2018 18:00,181,103,78,Bewölkt,12,73,12,0,6
,20. Okt. 2018 19:00,145,71,74,Bewölkt,12,74,11,0,7
,20. Okt. 2018 20:00,136,81,55,Bedeckt,11,75,11,0,7
,20. Okt. 2018 21:00,88,48,40,Bedeckt,11,76,11,0,8
,20. Okt. 2018 22:00,70,32,38,Bedeckt,11,79,10,0,7
,20. Okt. 2018 23:00,65,25,40,Bewölkt,10,82,9,0,7
,21. Okt. 2018 00:00,60,27,33,Bewölkt,9,85,8,0,7
,21. Okt. 2018 01:00,32,26,6,Bewölkt,9,87,8,0,6
,21. Okt. 2018 02:00,45,26,19,Bewölkt,9,89,8,0,6
,21. Okt. 2018 03:00,36,13,23,Bewölkt,8,91,8,0,5
,21. Okt. 2018 04:00,14,3,11,Bewölkt,8,91,7,0,5
,21. Okt. 2018 05:00,19,6,13,Leicht bewölkt,7,91,7,0,5
,21. Okt. 2018 06:00,18,10,8,Leicht bewölkt,7,92,7,0,5
,21. Okt. 2018 07:00,7,3,4,Leicht bewölkt,8,88,8,0,5
,21. Okt. 2018 08:00,18,9,9,Leicht bewölkt,9,83,9,0,6
,21. Okt. 2018 09:00,66,54,12,Leicht bewölkt,10,79,10,0,6
,21. Okt. 2018 10:00,85,68,17,Leicht bewölkt,11,74,11,0,6
,21. Okt. 2018 11:00,101,65,36,Leicht bewölkt,13,69,12,0,6
,21. Okt. 2018 12:00,130,71,59,Leicht bewölkt,14,64,14,0,6
,21. Okt. 2018 13:00,133,67,66,Leicht bewölkt,15,63,15,0,6
,21. Okt. 2018 14:00,114,67,47,Leicht bewölkt,15,62,15,0,5
,21. Okt. 2018 15:00,159,90,69,Leicht bewölkt,16,62,16,0,4
,21. Okt. 2018 16:00,174,89,85,Leicht bewölkt,15,65,15,0,3
,21. Okt. 2018 17:00,150,86,64,Leicht bewölkt,14,69,14,0,2
,21. Okt. 2018 18:00,160,101,59,Leicht bewölkt,13,72,13,0,1
,21. Okt. 2018 19:00,79,37,42,Leicht bewölkt,13,74,12,0,2
,21. Okt. 2018 20:00,89,39,50,Leicht bewölkt,12,76,12,0,3
,21. Okt. 2018 21:00,48,21,27,Leicht bewölkt,11,78,11,0,4
,21. Okt. 2018 22:00,44,17,27,Leicht bewölkt,10,79,10,0,5
,21. Okt. 2018 23:00,18,11,7,Leicht bewölkt,10,80,9,0,5
,22. Okt. 2018 00:00,13,6,7,Leicht bewölkt,10,80,9,0,6
,22. Okt. 2018 01:00,5,3,2,Leicht bewölkt,9,81,8,0,6
,22. Okt. 2018 02:00,7,3,4,Leicht bewölkt,9,81,8,0,7
,22. Okt. 2018 03:00,6,4,2,Leicht bewölkt,9,82,8,0,7
,22. Okt. 2018 04:00,4,3,1,Leicht bewölkt,9,82,8,0,8
,22. Okt. 2018 05:00,28,16,12,Bedeckt,9,82,8,0,9
,22. Okt. 2018 06:00,106,56,50,Bedeckt,9,83,8,0,9
,22. Okt. 2018 07:00,269,162,107,Bedeckt,10,84,8,0,12
,22. Okt. 2018 08:00,278,183,95,Bedeckt,10,86,8,0,14
,22. Okt. 2018 09:00,219,151,68,Bedeckt,10,88,8,0,17
,22. Okt. 2018 10:00,133,90,43,Bedeckt,11,83,9,0,18
,22. Okt. 2018 11:00,184,116,68,Leichter Regenfall,12,79,10,0,18
,22. Okt. 2018 12:00,195,114,81,Leichter Regenfall,12,75,10,0,19
,22. Okt. 2018 13:00,243,151,92,Leichter Regenfall,12,72,10,0,18
,22. Okt. 2018 14:00,207,109,98,Bewölkt,12,69,10,0,17
,22. Okt. 2018 15:00,303,189,114,Bewölkt,12,66,10,0,16
,22. Okt. 2018 16:00,360,213,147,Bewölkt,11,65,10,0,15
,22. Okt. 2018 17:00,387,225,162,Bewölkt,11,64,9,0,13
,22. Okt. 2018 18:00,306,182,124,Bewölkt,10,63,9,0,12
,22. Okt. 2018 19:00,274,151,123,Bewölkt,10,65,8,0,11
,22. Okt. 2018 20:00,136,71,65,Leicht bewölkt,9,67,7,0,11
,22. Okt. 2018 21:00,101,54,47,Leicht bewölkt,8,69,6,0,10
,22. Okt. 2018 22:00,101,41,60,Leicht bewölkt,7,72,5,0,11
,22. Okt. 2018 23:00,52,14,38,Leicht bewölkt,7,75,4,0,11
,23. Okt. 2018 00:00,27,5,22,Leicht bewölkt,6,78,4,0,11
,23. Okt. 2018 01:00,24,5,19,Leicht bewölkt,6,78,3,0,13
,23. Okt. 2018 02:00,18,4,14,Leicht bewölkt,6,78,3,0,16
,23. Okt. 2018 03:00,11,2,9,Leicht bewölkt,6,78,3,0,18
,23. Okt. 2018 04:00,8,6,2,Leicht bewölkt,7,77,4,0,21
,23. Okt. 2018 05:00,34,18,16,Leicht bewölkt,8,76,4,0,24
,23. Okt. 2018 06:00,103,58,45,Leicht bewölkt,8,75,4,0,27
,23. Okt. 2018 07:00,278,159,119,Leicht bewölkt,9,77,5,0,28
,23. Okt. 2018 08:00,318,225,93,Bedeckt,9,78,6,0,29
,23. Okt. 2018 09:00,214,150,64,Bedeckt,10,79,7,0,30
,23. Okt. 2018 10:00,162,117,45,Bedeckt,11,80,7,0,30
,23. Okt. 2018 11:00,177,120,57,Nieselregen,11,81,8,0,30
,23. Okt. 2018 12:00,186,111,75,Nieselregen,12,82,9,0,31
,23. Okt. 2018 13:00,204,111,93,Nieselregen,12,81,9,0,31
,23. Okt. 2018 14:00,181,96,85,Nieselregen,12,80,9,0,31
,23. Okt. 2018 15:00,277,149,128,Nieselregen,13,80,10,0,31
,23. Okt. 2018 16:00,327,196,131,Nieselregen,12,80,10,0,31
,23. Okt. 2018 17:00,325,196,129,Nieselregen,11,81,10,0,31
,23. Okt. 2018 18:00,266,139,127,Nieselregen,11,82,10,0,32
,23. Okt. 2018 19:00,219,100,119,Nieselregen,10,83,9,0,32
,23. Okt. 2018 20:00,142,69,73,Bedeckt,8,83,8,0,32
,23. Okt. 2018 21:00,88,36,52,Bedeckt,7,84,7,0,33
,23. Okt. 2018 22:00,54,17,37,Bedeckt,8,85,8,0,33
,23. Okt. 2018 23:00,54,21,33,Nieselregen,10,86,9,0,33
,24. Okt. 2018 00:00,18,8,10,Nieselregen,11,87,10,0,33
,24. Okt. 2018 01:00,13,4,9,Nieselregen,12,87,10,0,33
