Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Hyderabad,Junction,Others,Persons Killed,0.0
Hyderabad,Junction,Others,Total Injured,0.0
Hyderabad,Junction,Others,Total number of Accidents,0.0
Hyderabad,Junction,Round about Junction,Greviously Injured,4.0
Hyderabad,Junction,Round about Junction,Minor Injury,249.0
Hyderabad,Junction,Round about Junction,Persons Killed,31.0
Hyderabad,Junction,Round about Junction,Total Injured,253.0
Hyderabad,Junction,Round about Junction,Total number of Accidents,282.0
Hyderabad,Junction,Staggered Junction,Greviously Injured,58.0
Hyderabad,Junction,Staggered Junction,Minor Injury,1055.0
Hyderabad,Junction,Staggered Junction,Persons Killed,173.0
Hyderabad,Junction,Staggered Junction,Total Injured,1113.0
Hyderabad,Junction,Staggered Junction,Total number of Accidents,1232.0
Hyderabad,Junction,T,Greviously Injured,15.0
Hyderabad,Junction,T,Minor Injury,220.0
Hyderabad,Junction,T,Persons Killed,26.0
Hyderabad,Junction,T,Total Injured,235.0
Hyderabad,Junction,T,Total number of Accidents,245.0
Hyderabad,Junction,Y,Greviously Injured,7.0
Hyderabad,Junction,Y,Minor Injury,143.0
Hyderabad,Junction,Y,Persons Killed,11.0
Hyderabad,Junction,Y,Total Injured,150.0
Hyderabad,Junction,Y,Total number of Accidents,149.0
Indore,Junction,Four arm Junction,Greviously Injured,24.0
Indore,Junction,Four arm Junction,Minor Injury,330.0
Indore,Junction,Four arm Junction,Persons Killed,36.0
Indore,Junction,Four arm Junction,Total Injured,354.0
Indore,Junction,Four arm Junction,Total number of Accidents,418.0
Indore,Junction,Others,Greviously Injured,51.0
Indore,Junction,Others,Minor Injury,1138.0
Indore,Junction,Others,Persons Killed,292.0
Indore,Junction,Others,Total Injured,1189.0
Indore,Junction,Others,Total number of Accidents,1396.0
Indore,Junction,Round about Junction,Greviously Injured,70.0
Indore,Junction,Round about Junction,Minor Injury,198.0
Indore,Junction,Round about Junction,Persons Killed,31.0
Indore,Junction,Round about Junction,Total Injured,268.0
Indore,Junction,Round about Junction,Total number of Accidents,252.0
Indore,Junction,Staggered Junction,Greviously Injured,0.0
Indore,Junction,Staggered Junction,Minor Injury,0.0
Indore,Junction,Staggered Junction,Persons Killed,0.0
Indore,Junction,Staggered Junction,Total Injured,0.0
Indore,Junction,Staggered Junction,Total number of Accidents,0.0
Indore,Junction,T,Greviously Injured,39.0
Indore,Junction,T,Minor Injury,399.0
Indore,Junction,T,Persons Killed,47.0
Indore,Junction,T,Total Injured,438.0
Indore,Junction,T,Total number of Accidents,509.0
Indore,Junction,Y,Greviously Injured,38.0
Indore,Junction,Y,Minor Injury,361.0
Indore,Junction,Y,Persons Killed,53.0
Indore,Junction,Y,Total Injured,399.0
Indore,Junction,Y,Total number of Accidents,461.0
Jabalpur,Junction,Four arm Junction,Greviously Injured,24.0
Jabalpur,Junction,Four arm Junction,Minor Injury,188.0
Jabalpur,Junction,Four arm Junction,Persons Killed,9.0
Jabalpur,Junction,Four arm Junction,Total Injured,212.0
Jabalpur,Junction,Four arm Junction,Total number of Accidents,232.0
Jabalpur,Junction,Others,Greviously Injured,243.0
Jabalpur,Junction,Others,Minor Injury,1254.0
Jabalpur,Junction,Others,Persons Killed,205.0
Jabalpur,Junction,Others,Total Injured,1497.0
Jabalpur,Junction,Others,Total number of Accidents,1548.0
Jabalpur,Junction,Round about Junction,Greviously Injured,2.0
Jabalpur,Junction,Round about Junction,Minor Injury,16.0
Jabalpur,Junction,Round about Junction,Persons Killed,0.0
Jabalpur,Junction,Round about Junction,Total Injured,18.0
Jabalpur,Junction,Round about Junction,Total number of Accidents,18.0
Jabalpur,Junction,Staggered Junction,Greviously Injured,14.0
Jabalpur,Junction,Staggered Junction,Minor Injury,171.0
Jabalpur,Junction,Staggered Junction,Persons Killed,41.0
Jabalpur,Junction,Staggered Junction,Total Injured,185.0
Jabalpur,Junction,Staggered Junction,Total number of Accidents,216.0
Jabalpur,Junction,T,Greviously Injured,176.0
Jabalpur,Junction,T,Minor Injury,834.0
Jabalpur,Junction,T,Persons Killed,144.0
Jabalpur,Junction,T,Total Injured,1010.0
Jabalpur,Junction,T,Total number of Accidents,933.0
Jabalpur,Junction,Y,Greviously Injured,31.0
Jabalpur,Junction,Y,Minor Injury,304.0
Jabalpur,Junction,Y,Persons Killed,23.0
Jabalpur,Junction,Y,Total Injured,335.0
Jabalpur,Junction,Y,Total number of Accidents,279.0
Jaipur,Junction,Four arm Junction,Greviously Injured,46.0
Jaipur,Junction,Four arm Junction,Minor Injury,117.0
Jaipur,Junction,Four arm Junction,Persons Killed,35.0
Jaipur,Junction,Four arm Junction,Total Injured,163.0
Jaipur,Junction,Four arm Junction,Total number of Accidents,174.0
Jaipur,Junction,Others,Greviously Injured,345.0
Jaipur,Junction,Others,Minor Injury,829.0
Jaipur,Junction,Others,Persons Killed,459.0
Jaipur,Junction,Others,Total Injured,1174.0
Jaipur,Junction,Others,Total number of Accidents,1449.0
Jaipur,Junction,Round about Junction,Greviously Injured,3.0
Jaipur,Junction,Round about Junction,Minor Injury,39.0
Jaipur,Junction,Round about Junction,Persons Killed,24.0
Jaipur,Junction,Round about Junction,Total Injured,42.0
Jaipur,Junction,Round about Junction,Total number of Accidents,59.0
Jaipur,Junction,Staggered Junction,Greviously Injured,0.0
Jaipur,Junction,Staggered Junction,Minor Injury,25.0
Jaipur,Junction,Staggered Junction,Persons Killed,15.0
Jaipur,Junction,Staggered Junction,Total Injured,25.0
Jaipur,Junction,Staggered Junction,Total number of Accidents,40.0
Jaipur,Junction,T,Greviously Injured,49.0
Jaipur,Junction,T,Minor Injury,110.0
Jaipur,Junction,T,Persons Killed,66.0
Jaipur,Junction,T,Total Injured,159.0
Jaipur,Junction,T,Total number of Accidents,207.0
Jaipur,Junction,Y,Greviously Injured,1.0
Jaipur,Junction,Y,Minor Injury,4.0
Jaipur,Junction,Y,Persons Killed,7.0
Jaipur,Junction,Y,Total Injured,5.0
Jaipur,Junction,Y,Total number of Accidents,11.0
Jamshedpur,Junction,Four arm Junction,Greviously Injured,16.0
Jamshedpur,Junction,Four arm Junction,Minor Injury,2.0
Jamshedpur,Junction,Four arm Junction,Persons Killed,11.0
Jamshedpur,Junction,Four arm Junction,Total Injured,18.0
Jamshedpur,Junction,Four arm Junction,Total number of Accidents,25.0
Jamshedpur,Junction,Others,Greviously Injured,0.0
Jamshedpur,Junction,Others,Minor Injury,0.0
Jamshedpur,Junction,Others,Persons Killed,0.0
Jamshedpur,Junction,Others,Total Injured,0.0
Jamshedpur,Junction,Others,Total number of Accidents,0.0
Jamshedpur,Junction,Round about Junction,Greviously Injured,11.0
Jamshedpur,Junction,Round about Junction,Minor Injury,2.0
Jamshedpur,Junction,Round about Junction,Persons Killed,7.0
Jamshedpur,Junction,Round about Junction,Total Injured,13.0
Jamshedpur,Junction,Round about Junction,Total number of Accidents,17.0
Jamshedpur,Junction,Staggered Junction,Greviously Injured,8.0
Jamshedpur,Junction,Staggered Junction,Minor Injury,1.0
Jamshedpur,Junction,Staggered Junction,Persons Killed,5.0
Jamshedpur,Junction,Staggered Junction,Total Injured,9.0
Jamshedpur,Junction,Staggered Junction,Total number of Accidents,10.0
Jamshedpur,Junction,T,Greviously Injured,22.0
Jamshedpur,Junction,T,Minor Injury,6.0
Jamshedpur,Junction,T,Persons Killed,14.0
Jamshedpur,Junction,T,Total Injured,28.0
Jamshedpur,Junction,T,Total number of Accidents,38.0
Jamshedpur,Junction,Y,Greviously Injured,19.0
Jamshedpur,Junction,Y,Minor Injury,4.0
Jamshedpur,Junction,Y,Persons Killed,10.0
Jamshedpur,Junction,Y,Total Injured,23.0
Jamshedpur,Junction,Y,Total number of Accidents,29.0
Jodhpur,Junction,Four arm Junction,Greviously Injured,0.0
Jodhpur,Junction,Four arm Junction,Minor Injury,3.0
Jodhpur,Junction,Four arm Junction,Persons Killed,0.0
Jodhpur,Junction,Four arm Junction,Total Injured,3.0
Jodhpur,Junction,Four arm Junction,Total number of Accidents,4.0
Jodhpur,Junction,Others,Greviously Injured,27.0
Jodhpur,Junction,Others,Minor Injury,120.0
Jodhpur,Junction,Others,Persons Killed,104.0
Jodhpur,Junction,Others,Total Injured,147.0
Jodhpur,Junction,Others,Total number of Accidents,197.0
Jodhpur,Junction,Round about Junction,Greviously Injured,2.0
Jodhpur,Junction,Round about Junction,Minor Injury,7.0
Jodhpur,Junction,Round about Junction,Persons Killed,6.0
Jodhpur,Junction,Round about Junction,Total Injured,9.0
Jodhpur,Junction,Round about Junction,Total number of Accidents,12.0
Jodhpur,Junction,Staggered Junction,Greviously Injured,2.0
Jodhpur,Junction,Staggered Junction,Minor Injury,21.0
Jodhpur,Junction,Staggered Junction,Persons Killed,12.0
Jodhpur,Junction,Staggered Junction,Total Injured,23.0
Jodhpur,Junction,Staggered Junction,Total number of Accidents,35.0
Jodhpur,Junction,T,Greviously Injured,2.0
Jodhpur,Junction,T,Minor Injury,22.0
Jodhpur,Junction,T,Persons Killed,15.0
Jodhpur,Junction,T,Total Injured,24.0
Jodhpur,Junction,T,Total number of Accidents,39.0
Jodhpur,Junction,Y,Greviously Injured,0.0
Jodhpur,Junction,Y,Minor Injury,1.0
Jodhpur,Junction,Y,Persons Killed,5.0
Jodhpur,Junction,Y,Total Injured,1.0
Jodhpur,Junction,Y,Total number of Accidents,5.0
Kannur,Junction,Four arm Junction,Greviously Injured,16.0
Kannur,Junction,Four arm Junction,Minor Injury,15.0
Kannur,Junction,Four arm Junction,Persons Killed,2.0
Kannur,Junction,Four arm Junction,Total Injured,31.0
Kannur,Junction,Four arm Junction,Total number of Accidents,26.0
Kannur,Junction,Others,Greviously Injured,214.0
Kannur,Junction,Others,Minor Injury,190.0
Kannur,Junction,Others,Persons Killed,46.0
Kannur,Junction,Others,Total Injured,404.0
Kannur,Junction,Others,Total number of Accidents,362.0
Kannur,Junction,Round about Junction,Greviously Injured,5.0
Kannur,Junction,Round about Junction,Minor Injury,2.0
Kannur,Junction,Round about Junction,Persons Killed,0.0
Kannur,Junction,Round about Junction,Total Injured,7.0
Kannur,Junction,Round about Junction,Total number of Accidents,7.0
Kannur,Junction,Staggered Junction,Greviously Injured,0.0
Kannur,Junction,Staggered Junction,Minor Injury,0.0
Kannur,Junction,Staggered Junction,Persons Killed,0.0
Kannur,Junction,Staggered Junction,Total Injured,0.0
Kannur,Junction,Staggered Junction,Total number of Accidents,0.0
Kannur,Junction,T,Greviously Injured,36.0
Kannur,Junction,T,Minor Injury,26.0
Kannur,Junction,T,Persons Killed,6.0
Kannur,Junction,T,Total Injured,62.0
Kannur,Junction,T,Total number of Accidents,58.0
Kannur,Junction,Y,Greviously Injured,33.0
Kannur,Junction,Y,Minor Injury,36.0
Kannur,Junction,Y,Persons Killed,3.0
Kannur,Junction,Y,Total Injured,69.0
Kannur,Junction,Y,Total number of Accidents,51.0
Kanpur,Junction,Four arm Junction,Greviously Injured,20.0
Kanpur,Junction,Four arm Junction,Minor Injury,4.0
Kanpur,Junction,Four arm Junction,Persons Killed,15.0
Kanpur,Junction,Four arm Junction,Total Injured,24.0
Kanpur,Junction,Four arm Junction,Total number of Accidents,35.0
Kanpur,Junction,Others,Greviously Injured,584.0
Kanpur,Junction,Others,Minor Injury,72.0
Kanpur,Junction,Others,Persons Killed,479.0
Kanpur,Junction,Others,Total Injured,656.0
Kanpur,Junction,Others,Total number of Accidents,1037.0
Kanpur,Junction,Round about Junction,Greviously Injured,24.0
Kanpur,Junction,Round about Junction,Minor Injury,2.0
Kanpur,Junction,Round about Junction,Persons Killed,18.0
Kanpur,Junction,Round about Junction,Total Injured,26.0
Kanpur,Junction,Round about Junction,Total number of Accidents,39.0
Kanpur,Junction,Staggered Junction,Greviously Injured,13.0
Kanpur,Junction,Staggered Junction,Minor Injury,1.0
Kanpur,Junction,Staggered Junction,Persons Killed,8.0
Kanpur,Junction,Staggered Junction,Total Injured,14.0
Kanpur,Junction,Staggered Junction,Total number of Accidents,23.0
Kanpur,Junction,T,Greviously Injured,31.0
Kanpur,Junction,T,Minor Injury,4.0
Kanpur,Junction,T,Persons Killed,26.0
Kanpur,Junction,T,Total Injured,35.0
Kanpur,Junction,T,Total number of Accidents,55.0
Kanpur,Junction,Y,Greviously Injured,21.0
Kanpur,Junction,Y,Minor Injury,2.0
Kanpur,Junction,Y,Persons Killed,17.0
Kanpur,Junction,Y,Total Injured,23.0
Kanpur,Junction,Y,Total number of Accidents,35.0
Khozikode,Junction,Four arm Junction,Greviously Injured,59.0
Khozikode,Junction,Four arm Junction,Minor Injury,23.0
Khozikode,Junction,Four arm Junction,Persons Killed,5.0
Khozikode,Junction,Four arm Junction,Total Injured,82.0
Khozikode,Junction,Four arm Junction,Total number of Accidents,96.0
Khozikode,Junction,Others,Greviously Injured,555.0
Khozikode,Junction,Others,Minor Injury,181.0
Khozikode,Junction,Others,Persons Killed,74.0
Khozikode,Junction,Others,Total Injured,736.0
Khozikode,Junction,Others,Total number of Accidents,724.0
Khozikode,Junction,Round about Junction,Greviously Injured,4.0
Khozikode,Junction,Round about Junction,Minor Injury,1.0
Khozikode,Junction,Round about Junction,Persons Killed,0.0
Khozikode,Junction,Round about Junction,Total Injured,5.0
Khozikode,Junction,Round about Junction,Total number of Accidents,4.0
Khozikode,Junction,Staggered Junction,Greviously Injured,0.0
Khozikode,Junction,Staggered Junction,Minor Injury,1.0
Khozikode,Junction,Staggered Junction,Persons Killed,1.0
Khozikode,Junction,Staggered Junction,Total Injured,1.0
Khozikode,Junction,Staggered Junction,Total number of Accidents,3.0
Khozikode,Junction,T,Greviously Injured,116.0
Khozikode,Junction,T,Minor Injury,41.0
Khozikode,Junction,T,Persons Killed,11.0
Khozikode,Junction,T,Total Injured,157.0
Khozikode,Junction,T,Total number of Accidents,151.0
Khozikode,Junction,Y,Greviously Injured,28.0
Khozikode,Junction,Y,Minor Injury,3.0
Khozikode,Junction,Y,Persons Killed,0.0
Khozikode,Junction,Y,Total Injured,31.0
Khozikode,Junction,Y,Total number of Accidents,25.0
Kochi,Junction,Four arm Junction,Greviously Injured,140.0
Kochi,Junction,Four arm Junction,Minor Injury,33.0
Kochi,Junction,Four arm Junction,Persons Killed,12.0
Kochi,Junction,Four arm Junction,Total Injured,173.0
Kochi,Junction,Four arm Junction,Total number of Accidents,168.0
Kochi,Junction,Others,Greviously Injured,712.0
Kochi,Junction,Others,Minor Injury,175.0
Kochi,Junction,Others,Persons Killed,70.0
Kochi,Junction,Others,Total Injured,887.0
Kochi,Junction,Others,Total number of Accidents,912.0
Kochi,Junction,Round about Junction,Greviously Injured,13.0
Kochi,Junction,Round about Junction,Minor Injury,0.0
Kochi,Junction,Round about Junction,Persons Killed,1.0
Kochi,Junction,Round about Junction,Total Injured,13.0
Kochi,Junction,Round about Junction,Total number of Accidents,15.0
Kochi,Junction,Staggered Junction,Greviously Injured,58.0
Kochi,Junction,Staggered Junction,Minor Injury,20.0
Kochi,Junction,Staggered Junction,Persons Killed,5.0
Kochi,Junction,Staggered Junction,Total Injured,78.0
Kochi,Junction,Staggered Junction,Total number of Accidents,84.0
Kochi,Junction,T,Greviously Injured,152.0
Kochi,Junction,T,Minor Injury,43.0
Kochi,Junction,T,Persons Killed,10.0
Kochi,Junction,T,Total Injured,195.0
Kochi,Junction,T,Total number of Accidents,194.0
Kochi,Junction,Y,Greviously Injured,47.0
Kochi,Junction,Y,Minor Injury,13.0
Kochi,Junction,Y,Persons Killed,3.0
Kochi,Junction,Y,Total Injured,60.0
Kochi,Junction,Y,Total number of Accidents,64.0
Kolkata,Junction,Four arm Junction,Greviously Injured,53.0
Kolkata,Junction,Four arm Junction,Minor Injury,47.0
Kolkata,Junction,Four arm Junction,Persons Killed,18.0
Kolkata,Junction,Four arm Junction,Total Injured,100.0
Kolkata,Junction,Four arm Junction,Total number of Accidents,133.0
Kolkata,Junction,Others,Greviously Injured,535.0
Kolkata,Junction,Others,Minor Injury,280.0
Kolkata,Junction,Others,Persons Killed,159.0
Kolkata,Junction,Others,Total Injured,815.0
Kolkata,Junction,Others,Total number of Accidents,948.0
Kolkata,Junction,Round about Junction,Greviously Injured,27.0
Kolkata,Junction,Round about Junction,Minor Injury,26.0
Kolkata,Junction,Round about Junction,Persons Killed,8.0
Kolkata,Junction,Round about Junction,Total Injured,53.0
Kolkata,Junction,Round about Junction,Total number of Accidents,76.0
Kolkata,Junction,Staggered Junction,Greviously Injured,34.0
Kolkata,Junction,Staggered Junction,Minor Injury,34.0
Kolkata,Junction,Staggered Junction,Persons Killed,5.0
Kolkata,Junction,Staggered Junction,Total Injured,68.0
Kolkata,Junction,Staggered Junction,Total number of Accidents,87.0
Kolkata,Junction,T,Greviously Injured,119.0
Kolkata,Junction,T,Minor Injury,105.0
Kolkata,Junction,T,Persons Killed,7.0
Kolkata,Junction,T,Total Injured,224.0
Kolkata,Junction,T,Total number of Accidents,271.0
Kolkata,Junction,Y,Greviously Injured,76.0
Kolkata,Junction,Y,Minor Injury,65.0
Kolkata,Junction,Y,Persons Killed,4.0
Kolkata,Junction,Y,Total Injured,141.0
Kolkata,Junction,Y,Total number of Accidents,168.0
Kollam,Junction,Four arm Junction,Greviously Injured,92.0
Kollam,Junction,Four arm Junction,Minor Injury,12.0
Kollam,Junction,Four arm Junction,Persons Killed,14.0
Kollam,Junction,Four arm Junction,Total Injured,104.0
Kollam,Junction,Four arm Junction,Total number of Accidents,109.0
Kollam,Junction,Others,Greviously Injured,603.0
Kollam,Junction,Others,Minor Injury,76.0
Kollam,Junction,Others,Persons Killed,105.0
Kollam,Junction,Others,Total Injured,679.0
Kollam,Junction,Others,Total number of Accidents,716.0
Kollam,Junction,Round about Junction,Greviously Injured,5.0
Kollam,Junction,Round about Junction,Minor Injury,0.0
Kollam,Junction,Round about Junction,Persons Killed,0.0
Kollam,Junction,Round about Junction,Total Injured,5.0
Kollam,Junction,Round about Junction,Total number of Accidents,5.0
Kollam,Junction,Staggered Junction,Greviously Injured,6.0
Kollam,Junction,Staggered Junction,Minor Injury,0.0
Kollam,Junction,Staggered Junction,Persons Killed,2.0
Kollam,Junction,Staggered Junction,Total Injured,6.0
Kollam,Junction,Staggered Junction,Total number of Accidents,6.0
Kollam,Junction,T,Greviously Injured,410.0
Kollam,Junction,T,Minor Injury,75.0
Kollam,Junction,T,Persons Killed,61.0
Kollam,Junction,T,Total Injured,485.0
Kollam,Junction,T,Total number of Accidents,481.0
Kollam,Junction,Y,Greviously Injured,90.0
Kollam,Junction,Y,Minor Injury,12.0
Kollam,Junction,Y,Persons Killed,12.0
Kollam,Junction,Y,Total Injured,102.0
Kollam,Junction,Y,Total number of Accidents,94.0
Kota,Junction,Four arm Junction,Greviously Injured,8.0
Kota,Junction,Four arm Junction,Minor Injury,21.0
Kota,Junction,Four arm Junction,Persons Killed,4.0
Kota,Junction,Four arm Junction,Total Injured,29.0
Kota,Junction,Four arm Junction,Total number of Accidents,24.0
Kota,Junction,Others,Greviously Injured,45.0
Kota,Junction,Others,Minor Injury,223.0
Kota,Junction,Others,Persons Killed,53.0
Kota,Junction,Others,Total Injured,268.0
Kota,Junction,Others,Total number of Accidents,267.0
Kota,Junction,Round about Junction,Greviously Injured,6.0
Kota,Junction,Round about Junction,Minor Injury,17.0
Kota,Junction,Round about Junction,Persons Killed,1.0
Kota,Junction,Round about Junction,Total Injured,23.0
Kota,Junction,Round about Junction,Total number of Accidents,26.0
Kota,Junction,Staggered Junction,Greviously Injured,0.0
Kota,Junction,Staggered Junction,Minor Injury,0.0
Kota,Junction,Staggered Junction,Persons Killed,0.0
Kota,Junction,Staggered Junction,Total Injured,0.0
Kota,Junction,Staggered Junction,Total number of Accidents,0.0
Kota,Junction,T,Greviously Injured,8.0
Kota,Junction,T,Minor Injury,28.0
Kota,Junction,T,Persons Killed,2.0
Kota,Junction,T,Total Injured,36.0
Kota,Junction,T,Total number of Accidents,30.0
Kota,Junction,Y,Greviously Injured,0.0
Kota,Junction,Y,Minor Injury,6.0
Kota,Junction,Y,Persons Killed,0.0
Kota,Junction,Y,Total Injured,6.0
Kota,Junction,Y,Total number of Accidents,6.0
Lucknow,Junction,Four arm Junction,Greviously Injured,24.0
Lucknow,Junction,Four arm Junction,Minor Injury,15.0
Lucknow,Junction,Four arm Junction,Persons Killed,32.0
Lucknow,Junction,Four arm Junction,Total Injured,39.0
Lucknow,Junction,Four arm Junction,Total number of Accidents,48.0
Lucknow,Junction,Others,Greviously Injured,126.0
Lucknow,Junction,Others,Minor Injury,149.0
Lucknow,Junction,Others,Persons Killed,161.0
Lucknow,Junction,Others,Total Injured,275.0
Lucknow,Junction,Others,Total number of Accidents,584.0
Lucknow,Junction,Round about Junction,Greviously Injured,36.0
Lucknow,Junction,Round about Junction,Minor Injury,23.0
Lucknow,Junction,Round about Junction,Persons Killed,41.0
Lucknow,Junction,Round about Junction,Total Injured,59.0
Lucknow,Junction,Round about Junction,Total number of Accidents,62.0
Lucknow,Junction,Staggered Junction,Greviously Injured,31.0
Lucknow,Junction,Staggered Junction,Minor Injury,21.0
Lucknow,Junction,Staggered Junction,Persons Killed,38.0
Lucknow,Junction,Staggered Junction,Total Injured,52.0
Lucknow,Junction,Staggered Junction,Total number of Accidents,68.0
Lucknow,Junction,T,Greviously Injured,51.0
Lucknow,Junction,T,Minor Injury,22.0
Lucknow,Junction,T,Persons Killed,57.0
Lucknow,Junction,T,Total Injured,73.0
Lucknow,Junction,T,Total number of Accidents,106.0
Lucknow,Junction,Y,Greviously Injured,38.0
Lucknow,Junction,Y,Minor Injury,18.0
Lucknow,Junction,Y,Persons Killed,45.0
Lucknow,Junction,Y,Total Injured,56.0
Lucknow,Junction,Y,Total number of Accidents,78.0
Ludhiana,Junction,Four arm Junction,Greviously Injured,20.0
Ludhiana,Junction,Four arm Junction,Minor Injury,7.0
Ludhiana,Junction,Four arm Junction,Persons Killed,30.0
Ludhiana,Junction,Four arm Junction,Total Injured,27.0
Ludhiana,Junction,Four arm Junction,Total number of Accidents,52.0
Ludhiana,Junction,Others,Greviously Injured,67.0
Ludhiana,Junction,Others,Minor Injury,2.0
Ludhiana,Junction,Others,Persons Killed,153.0
Ludhiana,Junction,Others,Total Injured,69.0
Ludhiana,Junction,Others,Total number of Accidents,235.0
Ludhiana,Junction,Round about Junction,Greviously Injured,5.0
Ludhiana,Junction,Round about Junction,Minor Injury,8.0
Ludhiana,Junction,Round about Junction,Persons Killed,20.0
Ludhiana,Junction,Round about Junction,Total Injured,13.0
Ludhiana,Junction,Round about Junction,Total number of Accidents,25.0
Ludhiana,Junction,Staggered Junction,Greviously Injured,20.0
Ludhiana,Junction,Staggered Junction,Minor Injury,3.0
Ludhiana,Junction,Staggered Junction,Persons Killed,40.0
Ludhiana,Junction,Staggered Junction,Total Injured,23.0
Ludhiana,Junction,Staggered Junction,Total number of Accidents,49.0
Ludhiana,Junction,T,Greviously Injured,10.0
Ludhiana,Junction,T,Minor Injury,15.0
Ludhiana,Junction,T,Persons Killed,15.0
Ludhiana,Junction,T,Total Injured,25.0
Ludhiana,Junction,T,Total number of Accidents,27.0
Ludhiana,Junction,Y,Greviously Injured,17.0
Ludhiana,Junction,Y,Minor Injury,10.0
Ludhiana,Junction,Y,Persons Killed,25.0
Ludhiana,Junction,Y,Total Injured,27.0
Ludhiana,Junction,Y,Total number of Accidents,30.0
Madurai,Junction,Four arm Junction,Greviously Injured,14.0
Madurai,Junction,Four arm Junction,Minor Injury,24.0
Madurai,Junction,Four arm Junction,Persons Killed,2.0
Madurai,Junction,Four arm Junction,Total Injured,38.0
Madurai,Junction,Four arm Junction,Total number of Accidents,32.0
Madurai,Junction,Others,Greviously Injured,80.0
Madurai,Junction,Others,Minor Injury,301.0
Madurai,Junction,Others,Persons Killed,69.0
Madurai,Junction,Others,Total Injured,381.0
Madurai,Junction,Others,Total number of Accidents,422.0
Madurai,Junction,Round about Junction,Greviously Injured,1.0
Madurai,Junction,Round about Junction,Minor Injury,1.0
Madurai,Junction,Round about Junction,Persons Killed,1.0
Madurai,Junction,Round about Junction,Total Injured,2.0
Madurai,Junction,Round about Junction,Total number of Accidents,3.0
Madurai,Junction,Staggered Junction,Greviously Injured,7.0
Madurai,Junction,Staggered Junction,Minor Injury,10.0
Madurai,Junction,Staggered Junction,Persons Killed,4.0
Madurai,Junction,Staggered Junction,Total Injured,17.0
Madurai,Junction,Staggered Junction,Total number of Accidents,18.0
Madurai,Junction,T,Greviously Injured,8.0
Madurai,Junction,T,Minor Injury,46.0
Madurai,Junction,T,Persons Killed,4.0
Madurai,Junction,T,Total Injured,54.0
Madurai,Junction,T,Total number of Accidents,47.0
Madurai,Junction,Y,Greviously Injured,2.0
Madurai,Junction,Y,Minor Injury,5.0
Madurai,Junction,Y,Persons Killed,1.0
Madurai,Junction,Y,Total Injured,7.0
Madurai,Junction,Y,Total number of Accidents,8.0
Mallapuram,Junction,Four arm Junction,Greviously Injured,21.0
Mallapuram,Junction,Four arm Junction,Minor Injury,13.0
Mallapuram,Junction,Four arm Junction,Persons Killed,2.0
Mallapuram,Junction,Four arm Junction,Total Injured,34.0
Mallapuram,Junction,Four arm Junction,Total number of Accidents,26.0
Mallapuram,Junction,Others,Greviously Injured,1185.0
Mallapuram,Junction,Others,Minor Injury,379.0
Mallapuram,Junction,Others,Persons Killed,211.0
Mallapuram,Junction,Others,Total Injured,1564.0
Mallapuram,Junction,Others,Total number of Accidents,1525.0
Mallapuram,Junction,Round about Junction,Greviously Injured,4.0
Mallapuram,Junction,Round about Junction,Minor Injury,3.0
Mallapuram,Junction,Round about Junction,Persons Killed,0.0
Mallapuram,Junction,Round about Junction,Total Injured,7.0
Mallapuram,Junction,Round about Junction,Total number of Accidents,6.0
Mallapuram,Junction,Staggered Junction,Greviously Injured,0.0
Mallapuram,Junction,Staggered Junction,Minor Injury,0.0
Mallapuram,Junction,Staggered Junction,Persons Killed,0.0
Mallapuram,Junction,Staggered Junction,Total Injured,0.0
Mallapuram,Junction,Staggered Junction,Total number of Accidents,0.0
Mallapuram,Junction,T,Greviously Injured,118.0
Mallapuram,Junction,T,Minor Injury,39.0
Mallapuram,Junction,T,Persons Killed,24.0
Mallapuram,Junction,T,Total Injured,157.0
Mallapuram,Junction,T,Total number of Accidents,165.0
Mallapuram,Junction,Y,Greviously Injured,40.0
Mallapuram,Junction,Y,Minor Injury,26.0
Mallapuram,Junction,Y,Persons Killed,10.0
Mallapuram,Junction,Y,Total Injured,66.0
Mallapuram,Junction,Y,Total number of Accidents,62.0
Meerut,Junction,Four arm Junction,Greviously Injured,0.0
Meerut,Junction,Four arm Junction,Minor Injury,22.0
Meerut,Junction,Four arm Junction,Persons Killed,19.0
Meerut,Junction,Four arm Junction,Total Injured,22.0
Meerut,Junction,Four arm Junction,Total number of Accidents,38.0
Meerut,Junction,Others,Greviously Injured,24.0
Meerut,Junction,Others,Minor Injury,381.0
Meerut,Junction,Others,Persons Killed,287.0
Meerut,Junction,Others,Total Injured,405.0
Meerut,Junction,Others,Total number of Accidents,604.0
Meerut,Junction,Round about Junction,Greviously Injured,0.0
Meerut,Junction,Round about Junction,Minor Injury,7.0
Meerut,Junction,Round about Junction,Persons Killed,6.0
Meerut,Junction,Round about Junction,Total Injured,7.0
Meerut,Junction,Round about Junction,Total number of Accidents,11.0
Meerut,Junction,Staggered Junction,Greviously Injured,1.0
Meerut,Junction,Staggered Junction,Minor Injury,11.0
Meerut,Junction,Staggered Junction,Persons Killed,12.0
Meerut,Junction,Staggered Junction,Total Injured,12.0
Meerut,Junction,Staggered Junction,Total number of Accidents,17.0
Meerut,Junction,T,Greviously Injured,2.0
Meerut,Junction,T,Minor Injury,24.0
Meerut,Junction,T,Persons Killed,14.0
Meerut,Junction,T,Total Injured,26.0
